Initial Investment ($),Monthly Contribution ($),Annual Return Rate (%),Investment Years
124.0,23.0,123.0,123
124.0,124.0,23.0,123
14.0,124.0,1234.0,1243
12.0,24.0,23.0,432
12.0,24.0,23.0,432
124.0,23.0,123.0,23
23.0,23.0,23.0,23
2000.0,200.0,15.0,2
200.0,200.0,1.0,1
200.0,200.0,10000000000.0,1
200.0,200.0,10.0,10
2000.0,200.0,15.0,30
0.0,1.0,1.0,12
0.0,100.0,100.0,15
0.0,100.0,8.5,15
4.0,42.0,23.0,23
4.0,42.0,23.0,23
500.0,2000.0,10.0,5
200.0,100.0,6.0,10
14.0,15.0,15.0,15
14.0,15.0,15.0,15
14.0,15.0,15.0,15
2000.0,100.0,15.0,5
2000.0,100.0,15.0,50
10000.0,5000.0,500.0,5
10000.0,5000.0,5.0,5
1000.0,20.0,10.0,20
0.0,200.0,4.0,20
0.0,200.0,9.0,20
10000.0,400.0,4.0,15
10000.0,400.0,10.0,15
10000.0,400.0,10.0,25
100.0,20.0,8.5,20
0.0,100.0,10.26,20
5000.0,500.0,6.25,15
0.0,100.0,10.26,10
0.0,100.0,10.26,20
5000.0,500.0,6.25,10
123123.0,123.0,123.0,123
